"ID_estacao";"ano_ini";"ano_fim";"tbs_max";"tbs_996";"tbuc_996";"tbs_99";"tbuc_99";"tbs_98";"tbuc_98";"tbs_min";"tbu_max";"tbu_996";"tbsc_996";"tbu_99";"tbsc_99";"tbu_98";"tbsc_98"
"A766";2017;2021;42,8;37;26,2;35,4;26,3;33,6;25,5;3,5;38,2;27,5;35,2;26,9;34;26,2;33,8
"A765";2017;2021;37,9;34,1;27;33,3;25,6;32,2;24,8;10,6;34,2;29,9;33,7;27;28,6;26,5;30,8
"A764";2016;2021;38,8;35,9;21;34,7;20,9;33,7;21,3;3,4;25,8;24,4;31,2;24;31;23,7;30,3
"A763";2017;2021;40,6;35,2;22,8;34,1;21,4;33,1;21,3;1,7;29,8;24,2;31,5;23,8;30,2;23,4;29,8
"A762";2016;2021;42,4;38;21,1;36,7;21,7;35,5;22,1;0,1;28,3;26;31,3;25,6;31,7;25,2;30,9
"A761";2012;2021;41,7;37,5;19,4;36,5;20,3;35,4;20,8;4,8;33,1;25,1;31,1;24,5;30,8;24,2;30,3
"A760";2012;2021;41,3;36,6;18,7;35,4;18,4;34,2;18,3;1;24,8;23,5;30,1;23,2;29,8;23;29,1
"A759";2013;2021;44,4;37;21,2;35,9;21,5;34,8;22,5;3,9;39,3;25,9;30,3;25,3;30,4;24,8;29,7
"A758";2011;2021;41,4;37,7;22,9;36,6;22,6;35,7;23,1;-0,5;30,1;26,6;32,4;25,9;32,2;25,4;31,7
"A757";2011;2021;40,5;37,6;23,8;36,6;24,6;35,8;24,2;-2,5;32,7;27,3;33;26,5;33;26;32,7
"A756";2010;2021;44,6;39,2;20,1;37,9;20,6;36,9;21,1;-0,6;29;26,7;27,8;25,6;31;25,1;31,1
"A755";2011;2021;37,5;33,6;20,8;32,4;20,4;31,5;20,2;1,5;24,1;22,6;30;22,2;29,5;21,8;28,5
"A754";2010;2021;40,7;37;21,2;35,7;21,7;34,7;21,8;-1,1;29,8;25,2;31,8;24,8;31,5;24,4;31,3
"A753";2010;2021;41,4;36,9;19,4;35,5;18,9;34,4;19,7;-1,1;26,2;24;31,3;23,6;30,8;23,3;30,4
"A752";2010;2021;41,3;36,9;22,2;35,8;22,2;34,7;22,7;-0,3;28,1;26;30,9;25,5;30,9;25;31,1
"A751";2010;2021;40,6;36,1;21,5;34,9;22,4;33,9;22,7;-0,1;29,5;26,5;31,1;25,4;31;24,7;30,8
"A750";2010;2021;41,1;36,8;21,1;35,6;21,6;34,6;21,9;-2;34,5;25,2;32,2;24,7;31,4;24,3;30,7
"A749";2010;2021;41;36,7;22;35,6;22,2;34,7;22,5;-0,3;26,8;25,4;32,4;25;31,8;24,6;31,1
"A748";2010;2021;42,9;37,6;19,6;36,3;19,8;35,1;20,3;0,6;26,6;24,6;31,2;24,1;31,1;23,8;30,7
"A747";2010;2021;40,9;36,6;19;35,4;19,6;34,3;20,2;-1,4;27;23,6;30,8;23,3;30,1;23;29,8
"A746";2010;2021;35,4;32;22,6;30,8;22,7;29,4;22,1;-3,6;26;24,3;29,5;23,7;29,1;23,1;28
"A744";2017;2021;37,3;33,2;19,5;32,1;19,7;31,2;19,9;2,9;23,5;22,4;29,1;22;28,9;21,7;28,6
"A743";2010;2021;41,6;37,9;21,8;36,7;21,8;35,6;22,7;-3;27,6;25,9;32,9;25,5;32,4;25,2;32
"A742";2010;2021;42,2;37,8;19,5;36,6;19,4;35,6;20,3;-0,2;25,4;24,3;31,7;24;31,2;23,7;30,4
"A741";2010;2021;41,5;36,6;20,3;35,3;20,9;34,3;20,9;2,8;25,5;23,9;31,4;23,5;31;23,2;30,6
"A740";2010;2021;36,2;32,4;20,1;31,4;20,7;30,4;20,7;-1,7;24,7;23,1;28,8;22,7;28,7;22,2;28
"A739";2010;2021;38,9;34,9;19,8;33,9;20;33;20,2;2,9;25,1;23,1;29,7;22,8;29,5;22,4;29
"A738";2010;2021;38,8;34,2;19,6;33,2;19,9;32,3;19,7;3,2;24,1;22,6;29;22,3;29;22;28,7
"A737";2010;2021;42,6;36,4;19,7;35,1;20,6;34,1;21,2;0;25,9;24,4;31,2;24;31;23,6;30,4
"A736";2010;2021;41,9;36,7;19,9;35,4;19,9;34,3;20,9;0,5;26;24,1;31;23,8;30,8;23,5;30,2
"A735";2010;2021;41,3;36,9;20,3;35,7;20,9;34,8;21,5;0,7;26,2;24,7;31,8;24,4;31,7;24,1;31
"A734";2010;2021;44,3;38;20,3;36,7;20,8;35,6;21,5;-0,8;31;25,5;31,3;24,8;31,6;24,3;31,1
"A733";2010;2021;42,4;38;19,6;36,6;19,7;35,5;20;4,1;25,9;24,4;31,2;24,1;31;23,8;30,3
"A732";2010;2021;42,3;36;18,3;34,8;18,9;33,6;19,8;0,8;30,4;25,1;30,7;24,2;29,8;23,8;29,7
"A731";2010;2021;41,4;37,2;20,9;36,1;21,8;35,1;22,2;0;26,6;25,4;32,2;25;31,9;24,6;31,4
"A730";2010;2021;38,6;34,5;18;33,3;18,8;32,2;19,2;3,3;25;22,9;29,4;22,6;28,8;22,3;28,4
"A729";2010;2021;42,1;37,6;20,1;36,3;20,6;35,3;20,9;1,7;26,4;24,6;32;24,2;31,7;23,9;31,3
"A728";2010;2021;38,7;34,8;21;33,7;20,8;32,6;21,3;1,7;25,3;23,3;30,8;23;30,6;22,6;29,9
"A727";2010;2021;43,5;36,9;20;35,7;20,7;34,7;20,6;3;25,6;24,1;31;23,7;30,4;23,4;30,3
"A726";2010;2021;38,5;34,7;20,3;33,5;21,1;32,6;20,9;1,7;25,8;24,3;29,8;23,9;29,2;23,5;28,8
"A725";2010;2021;38,1;33,6;19,2;32,4;19,9;31,5;20,1;0,4;24,2;22,9;29,5;22,6;28,8;22,2;28,3
"A724";2010;2021;43,9;39;22,8;37,6;23,8;36,4;23,9;4,7;27,9;26,5;33,9;26,1;33,2;25,8;33
"A723";2010;2021;42,7;39,4;22,9;38,3;23,4;37,3;23,5;1,1;33,1;27;33;26,4;33,4;26;33
"A722";2010;2021;40,9;37,6;21,8;36,6;23,1;35,7;23,4;1,6;28,4;26,3;33,1;26;32,7;25,7;32,4
"A721";2010;2021;41,2;36,4;20,7;35,2;21,5;34,1;21,8;-0,7;26,1;25,1;31,6;24,7;31;24,3;30,7
"A720";2010;2021;44,1;39,2;21,2;38,1;21,2;36,9;21,8;1,9;31,5;26,9;33;26,3;31,8;25,8;31,6
"A719";2010;2021;41,3;38;22,4;37,1;22,8;36,2;23,8;1,6;29,9;26,9;33,1;26,3;33,4;25,9;32,9
"A718";2010;2021;41,4;36,7;21,5;35,4;22;34,5;22;-4,3;27,8;25,2;32;24,7;31,4;24,3;31,2
"A717";2010;2021;40,7;38,1;23;37,1;23,7;36,3;23,7;-1,1;29,1;26,7;32,7;26,4;32,8;26,1;32,4
"A716";2010;2021;39,8;36,1;21,5;34,8;21,5;33,7;21,9;0,4;27,5;25,1;31,4;24,5;31,3;24;30,7
"A715";2010;2021;39;33,5;21,7;32,4;22,2;31,3;21,6;-2,5;26,3;23,9;30,1;23,5;29,7;23;29
"A714";2010;2021;37,5;33,2;20,8;32,1;21,3;31;20,7;0,1;24,8;23,3;29,4;22,9;29,3;22,5;28,3
"A713";2010;2021;39,1;34;20,2;32,9;20,6;31,9;21,1;-0,1;24,8;23,4;30;23,1;29,8;22,7;28,9
